marker_compound,smiles,formula_verified,verification_strength,source_files,compound_type,temperament,notes
ginsenoside Rb1,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)O)O)O)O)C,C54H92O23,weak (PubChem self-reported formula),batch1.csv,Saponins,Hot-Wet,
glycyrrhizin,CC1(C2CCC3(C(C2(CCC1OC4C(C(C(C(O4)C(=O)O)O)O)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C(=O)C=C6C3(CCC7(C6CC(CC7)(C)C(=O)O)C)C)C)C,C42H62O16,,tcm_verified.csv,Unknown,Unknown,
harpagoside,CC1(CC(C2(C1C(OC=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)OC(=O)C=CC4=CC=CC=C4,C24H30O11,weak (PubChem self-reported formula),batch2.csv,Alkaloids,Cold-Dry,
hesperidin,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,C28H34O15,,tcm_verified.csv,Flavonoids,Cold-NS,
hydroxysafflor yellow A,C1=CC(=CC=C1C=CC(=C2C(=C(C(=O)C(C2=O)(C3C(C(C(C(O3)CO)O)O)O)O)C4C(C(C(C(O4)CO)O)O)O)O)O)O,C27H32O16,weak (PubChem self-reported formula),batch2.csv,Phenolic acids,NS-Dry,
hyperoside,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,C21H20O12,weak (PubChem self-reported formula),batch2.csv,Flavonoids,Cold-NS,
icariin,CC1C(C(C(C(O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CC=C(C)C)OC4C(C(C(C(O4)CO)O)O)O)O)C5=CC=C(C=C5)OC)O)O)O,C33H40O15,weak (PubChem self-reported formula),batch1.csv,Flavonoids,Cold-NS,
imperatorin,CC(=CCOC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2)C,C16H14O4,weak (PubChem self-reported formula),batch1.csv,Unknown,Unknown,
indigo,C1=CC=C2C(=C1)C(=C(N2)C3=NC4=CC=CC=C4C3=O)O,C16H10N2O2,,tcm_verified.csv,Unknown,Unknown,
jujuboside A,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C5CCC6C7C(CC(OC78CC6(C5(CCC4C3(C)C)C)CO8)C=C(C)C)(C)O)C)O)OC9C(C(C(C(O9)COC1C(C(C(C(O1)CO)O)O)O)O)O)OC1C(C(C(CO1)O)O)O)O)O)O,C58H94O26,weak (PubChem self-reported formula),batch2.csv,Unknown,Unknown,
leonurine,COC1=CC(=CC(=C1O)OC)C(=O)OCCCCN=C(N)N,C14H21N3O5,weak (PubChem self-reported formula),batch2.csv,Alkaloids,Cold-Dry,
liensinine,CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)O)OC4=C(C=CC(=C4)CC5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC,C37H42N2O6,weak (PubChem self-reported formula),batch2.csv,Alkaloids,Cold-Dry,
limonene,CC1=CCC(CC1)C(=C)C,C10H16,,tcm_verified.csv,Volatile oils,Hot-Dry,
linalool,CC(=CCCC(C)(C=C)O)C,C10H18O,,bartlett_verified.csv,Volatile oils,Hot-Dry,
linderane,CC1=CCCC23C(O2)C(C4=C(C1)OC=C4C)OC3=O,C15H16O4,weak (PubChem self-reported formula),batch2.csv,Volatile oils,Hot-Dry,
lobetyolin,CC=CC#CC#CC(C(C=CCCCO)OC1C(C(C(C(O1)CO)O)O)O)O,C20H28O8,weak (PubChem self-reported formula),batch1.csv,Volatile oils,Hot-Dry,
magnolol,C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O,C18H18O2,,tcm_verified.csv,Volatile oils,Hot-Dry,
mangiferin,C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=C(C(=C3)O)C4C(C(C(C(O4)CO)O)O)O)O,C19H18O11,weak (PubChem self-reported formula),batch1.csv,Flavonoids,Cold-NS,
matrine,C1CC2C3CCCN4C3C(CCC4)CN2C(=O)C1,C15H24N2O,weak (PubChem self-reported formula),batch1.csv,Alkaloids,Cold-Dry,
menthol,CC1CCC(C(C1)O)C(C)C,C10H20O,,tcm_verified.csv,Volatile oils,Hot-Dry,
