marker_compound,smiles,canonical_smiles,formula_verified,topology_formula,topology_MolWt,topology_LogP,topology_TPSA,topology_HBD,topology_HBA,topology_RotatableBonds,topology_FractionCSP3,topology_NumHeteroatoms,topology_AromaticRings,topology_RingCount,topology_NumAliphaticRings,topology_NumSaturatedRings,topology_NumHeterocycles
formononetin,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,C16H12O4,C16H12O4,268.268,3.1742,59.67,1.0,4.0,2.0,0.0625,4.0,3,3,0,0,1
thymoquinone,CC1=CC(=O)C(=CC1=O)C(C)C,CC1=CC(=O)C(C(C)C)=CC1=O,C10H12O2,C10H12O2,164.204,1.6669,34.14,0.0,2.0,1.0,0.4,2.0,0,1,1,0,0
geniposide,COC(=O)C1=CO[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]3[C@@H]1CC=C3CO,COC(=O)C1=CO[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]2C(CO)=CC[C@H]12,C17H24O10,C17H24O10,388.369,-2.2291,155.14,5.0,10.0,5.0,0.705882,10.0,0,3,3,1,2
arctigenin,COc1ccc(C[C@H]2C(=O)OC[C@H]2Cc3ccc(O)c(OC)c3)cc1OC,COc1cc(C[C@@H]2COC(=O)[C@@H]2Cc2ccc(OC)c(OC)c2)ccc1O,C21H24O6,C21H24O6,372.417,2.9924,74.22,1.0,6.0,7.0,0.380952,6.0,2,3,1,1,1
rosmarinic acid,O=C(O)C(Cc1ccc(O)c(O)c1)OC(=O)/C=C/c2ccc(O)c(O)c2,O=C(/C=C/c1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O,C18H16O8,C18H16O8,360.318,1.7613,144.52,5.0,7.0,6.0,0.111111,8.0,2,2,0,0,0
paeoniflorin,CC12C[C@@]3(O)O[C@@H](O1)[C@]4(COC(=O)c5ccccc5)[C@H]3C[C@]24O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O,CC12C[C@@]3(O)O[C@@H](O1)[C@]1(COC(=O)c4ccccc4)[C@H]3C[C@]21O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,C23H28O11,C23H28O11,480.466,-1.3575,164.37,5.0,11.0,6.0,0.695652,11.0,1,8,7,7,4
berberine,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,C20H18NO4,C20H18NO4+,336.367,3.0963,40.8,0.0,4.0,2.0,0.25,5.0,3,5,2,0,3
andrographolide,C=C1CC[C@H]2[C@](C)(CO)[C@@H](O)CC[C@@]2(C)[C@H]1CC=C3C(=O)OC[C@H]3O,C=C1CC[C@H]2[C@](C)(CO)[C@@H](O)CC[C@@]2(C)[C@H]1CC=C1C(=O)OC[C@H]1O,C20H30O5,C20H30O5,350.455,1.9626,86.99,3.0,5.0,3.0,0.75,5.0,0,3,3,3,1
salvianolic acid B,OC(=O)C(Cc1ccc(O)c(O)c1)OC(=O)C=Cc2cc(O)c3c(c2)C(=O)C=C(O3)C4=CC(=C(C=C4)O)O,O=C(C=Cc1cc(O)c2oc(-c3ccc(O)c(O)c3)cc(=O)c2c1)OC(Cc1ccc(O)c(O)c1)C(=O)O,C36H30O16,C27H20O11,520.446,3.2403,194.96,6.0,10.0,7.0,0.074074,11.0,4,4,0,0,1
aconitine,CCN1C[C@@]2([C@@H](C[C@@H]([C@@]34[C@@H]2[C@H]([C@@H](C31)[C@@]5([C@@H]6[C@H]4C[C@@]([C@@H]6OC(=O)C7=CC=CC=C7)([C@H]([C@@H]5O)OC)O)OC(=O)C)OC)OC)O)COC,CCN1C[C@]2(COC)[C@H](O)C[C@H](OC)[C@]34C1[C@H]([C@H](OC)[C@H]23)[C@]1(OC(C)=O)[C@H]2[C@@H](OC(=O)c3ccccc3)[C@](O)(C[C@H]24)[C@@H](OC)[C@@H]1O,C34H47NO11,C34H47NO11,645.746,0.6481,153.45,3.0,12.0,9.0,0.764706,12.0,1,7,6,6,1
tanshinone iia,CC1=C(C)C(=O)C2=C(C1=O)C3=C(C=C2)C4=C(C3=O)C(=C(C=C4)C)O,Cc1ccc2c(c1O)c(=O)c1c2ccc2c(=O)c(C)c(C)c(=O)c21,C19H18O3,C20H14O4,318.328,2.73326,71.44,1.0,4.0,0.0,0.15,4.0,4,4,0,0,0
astragaloside iv,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)C(C)(C)[C@@H]5CC[C@]34C)[C@@H]2C1,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@@]43C)[C@@H]2C1,C41H68O14,C42H70O11,751.011,3.8173,178.53,7.0,11.0,6.0,0.952381,11.0,0,7,7,6,2
artemisinin,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,C15H22O5,C15H22O5,282.336,2.3949,53.99,0.0,5.0,0.0,0.933333,5.0,0,5,5,5,4
6-shogaol,CCCCCC(=O)CCc1ccc(O)c(OC)c1,CCCCCC(=O)CCc1ccc(O)c(OC)c1,C17H24O3,C15H22O3,250.338,3.4828,46.53,1.0,3.0,8.0,0.533333,3.0,1,1,0,0,0
crataegolic acid,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]34C)[C@@H]2C1,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]43C)[C@@H]2C1,C30H48O3,C30H50O,426.729,8.1689,20.23,1.0,1.0,0.0,0.933333,1.0,0,5,5,4,0
atractylenolide,CC1=C(C)C(=O)OC2CC3C(C)(C)CCC(C)(C)C3CC12,CC1=C(C)C2CC3C(CC2OC1=O)C(C)(C)CCC3(C)C,C15H20O2,C19H30O2,290.447,4.7368,26.3,0.0,2.0,0.0,0.842105,2.0,0,3,3,2,1
gentiopicroside,OC1OC(CO)C(O)C(O)C1OC2C=C3C(=CCOC3=O)C4CC(O)C(O)C(O)C24,O=C1OCC=C2C1=CC(OC1C(O)OC(CO)C(O)C1O)C1C2CC(O)C(O)C1O,C16H20O9,C19H26O11,430.406,-3.6865,186.37,7.0,11.0,3.0,0.736842,11.0,0,4,4,2,2
