Herb_cn_name,Herb_name_pinyin,Property,Flavor,Meridian
紫苏梗,zi su geng,warm,pungent,"lung,spleen"
紫苏叶,zi su ye,warm,pungent,"lung,spleen"
紫苏子,zi su zi,warm,pungent,lung
化橘红,hua ju hong,warm,"pungent,bitter","lung,spleen"
五加皮,wu jia pi,warm,"pungent,bitter,sweet","liver,kidney"
猪牙皂,zhu ya zao,warm,"pungent,salty","lung,largeintestine"
昆布,kun bu,cold,salty,"liver,kidney,stomach"
大皂角,da zao jiao,warm,"salty,pungent","largeintestine,lung"
威灵仙,wei ling xian,warm,"salty,pungent",bladder
马齿苋,ma chi xian,cold,sour,"largeintestine,liver"
杠板归,gong ban gui,mildly cold,sour,"bladder,lung"
木瓜,mu gua,warm,sour,"liver,spleen"
白茅根,bai mao gen,cold,sweet,"lung,stomach,smallintestineothers"
百合,bai he,cold,sweet,"lung,heart"
车前草,che qian cao,cold,sweet,"bladder,kidney"
车前子,che qian zi,cold,sweet,"bladder,kidney"
地骨皮,di gu pi,cold,sweet,"liver,lung"
黄蜀葵花,huang shu kui hua,cold,sweet,"bladder,kidney"
金银花,jin yin hua,cold,sweet,"lung,stomach,heart"
芦根,lu gen,cold,sweet,"bladder,lung,stomach"
胖大海,pang da hai,cold,sweet,"largeintestine,lung"
忍冬藤,ren dong teng,cold,sweet,"lung,stomach"
桑白皮,sang bai pi,cold,sweet,lung
垂盆草,chui pen cao,cool,sweet,"gallbladder,liver,smallintestineothers"
冬瓜皮,dong gua pi,cool,sweet,"spleen,smallintestineothers"
钩藤,gou teng,cool,sweet,"liver,pericardiumothers"
广金钱草,guang jin qian cao,cool,sweet,"bladder,liver,kidney"
罗汉果,luo han guo,cool,sweet,"spleen,spleen"
天竺黄,tian zhu huang,cool,sweet,"heart,liver"
柏子仁,bai zi ren,even,sweet,"liver,spleen,heart"
党参,dang shen,even,sweet,"lung,spleen"
甘草,gan cao,even,sweet,"lung,spleen,stomach,heart"
枸杞子,gou qi zi,even,sweet,"liver,kidney"
合欢花,he huan hua,even,sweet,"liver,heart"
合欢皮,he huan pi,even,sweet,"lung,liver,heart"
黑豆,hei dou,even,sweet,"spleen,kidney"
黑芝麻,hei zhi ma,even,sweet,"largeintestine,liver,kidney"
黄精,huang jing,even,sweet,"lung,spleen,kidney"
火麻仁,huo ma ren,even,sweet,"largeintestine,spleen,stomach"
灵芝,ling zhi,even,sweet,"lung,liver,kidney,heart"
麦芽,mai ya,even,sweet,"spleen,stomach"
蒲黄,pu huang,even,sweet,"liver,pericardiumothers"
山药,shan yao,even,sweet,"lung,spleen,kidney"
丝瓜络,si gua luo,even,sweet,"lung,liver,stomach"
天麻,tian ma,even,sweet,liver
亚麻子,ya ma zi,even,sweet,"largeintestine,lung,liver"
密蒙花,mi meng hua,mildly cold,sweet,liver
石斛,shi hu,mildly cold,sweet,"stomach,tripleburner,kidneyothers"
银柴胡,yin chai hu,mildly cold,sweet,"liver,stomach"
玉竹,yu zhu,mildly cold,sweet,"lung,stomach"
竹茹,zhu ru,mildly cold,sweet,"gallbladder,lung,stomach,heart"
白扁豆,bai bian dou,mildly warm,sweet,"spleen,stomach"
黄芪,huang qi,mildly warm,sweet,"lung,spleen"
苍耳子,cang er zi,warm,sweet,"lung,liver"
大枣,da zao,warm,sweet,"spleen,stomach,heart"
刀豆,dao dou,warm,sweet,"kidney,stomach"
杜仲,du zhong,warm,sweet,"liver,kidney"
龙眼肉,long yan rou,warm,sweet,heartandspleensothers
使君子,shi jun zi,warm,sweet,"spleen,stomach"
娑罗子,suo luo zi,warm,sweet,"liver,stomach"
锁阳,suo yang,warm,sweet,"largeintestine,liver,kidney"
鸡冠花,ji guan hua,cool,"sweet,astringent","largeintestine,liver"
莲子,lian zi,even,"sweet,astringent","spleen,kidney,heart"
藕节,ou jie,even,"sweet,astringent","lung,liver,stomach"
芡实,qian shi,even,"sweet,astringent","spleen,kidney"
菝葜,ba qia,even,"sweet,astringent,mildly bitter","liver,kidney"
金樱子,jin ying zi,even,"sweet,astringent,sour","bladder,largeintestine,kidney"
杜仲叶,du zhong ye,cold,"sweet,bitter","liver,kidney"
番泻叶,fan xie ye,cold,"sweet,bitter",largeintestine
蒲公英,pu gong ying,cold,"sweet,bitter","liver,stomach"
青叶胆,qing ye dan,cold,"sweet,bitter","bladder,gallbladder,liver"
人参叶,ren shen ye,cold,"sweet,bitter","lung,stomach"
桑叶,sang ye,cold,"sweet,bitter","lung,liver"
天冬,tian dong,cold,"sweet,bitter","lung,kidney"
知母,zhi mu,cold,"sweet,bitter","lung,kidney,stomach"
